2 /////////////////////////////
validacio 3221142676932982 
real 31.29
user 52.38
sys 1.06
validacio 3221142676932982 
real 30.26
user 52.44
sys 0.85
validacio 3221142676932982 
real 29.60
user 51.94
sys 0.82
validacio 3221142676932982 
real 29.47
user 51.72
sys 0.84
validacio 3221142676932982 
real 29.52
user 51.96
sys 0.73
validacio 3221142676932982 
real 29.66
user 52.04
sys 0.84
validacio 3221142676932982 
real 29.80
user 52.27
sys 0.88
validacio 3221142676932982 
real 29.61
user 52.16
sys 0.64
validacio 3221142676932982 
real 29.52
user 52.00
sys 0.73
validacio 3221142676932982 
real 29.48
user 51.79
sys 0.81
4 /////////////////////////////
validacio 3221142676932982 
real 23.79
user 70.52
sys 0.95
validacio 3221142676932982 
real 23.79
user 70.53
sys 0.95
validacio 3221142676932982 
real 23.40
user 70.50
sys 0.84
validacio 3221142676932982 
real 23.39
user 70.49
sys 0.90
validacio 3221142676932982 
real 23.27
user 70.63
sys 0.77
validacio 3221142676932982 
real 23.25
user 70.56
sys 0.90
validacio 3221142676932982 
real 23.32
user 70.48
sys 0.84
validacio 3221142676932982 
real 23.28
user 70.53
sys 0.82
validacio 3221142676932982 
real 23.21
user 70.60
sys 0.87
validacio 3221142676932982 
real 23.48
user 70.35
sys 0.87
8 /////////////////////////////
validacio 3221142676932982 
real 23.08
user 71.00
sys 0.95
validacio 3221142676932982 
real 23.08
user 71.00
sys 1.00
validacio 3221142676932982 
real 23.35
user 70.84
sys 0.99
validacio 3221142676932982 
real 23.12
user 71.00
sys 0.94
validacio 3221142676932982 
real 23.78
user 71.60
sys 1.09
validacio 3221142676932982 
real 23.42
user 71.02
sys 1.03
validacio 3221142676932982 
real 23.08
user 70.92
sys 0.92
validacio 3221142676932982 
real 23.00
user 70.76
sys 0.97
validacio 3221142676932982 
real 23.13
user 70.67
sys 1.01
validacio 3221142676932982 
real 23.07
user 70.70
sys 1.04
16 /////////////////////////////
validacio 3221142676932982 
real 23.24
user 71.21
sys 1.03
validacio 3221142676932982 
real 23.15
user 71.35
sys 0.85
validacio 3221142676932982 
real 23.31
user 71.17
sys 1.00
validacio 3221142676932982 
real 23.30
user 71.32
sys 0.87
validacio 3221142676932982 
real 23.12
user 71.10
sys 1.08
validacio 3221142676932982 
real 23.21
user 71.32
sys 0.82
validacio 3221142676932982 
real 23.10
user 71.21
sys 0.97
validacio 3221142676932982 
real 23.24
user 71.20
sys 0.97
validacio 3221142676932982 
real 23.19
user 71.22
sys 0.93
validacio 3221142676932982 
real 23.16
user 71.18
sys 1.00
32 /////////////////////////////
validacio 3221142676932982 
real 23.13
user 71.45
sys 0.94
validacio 3221142676932982 
real 23.11
user 71.41
sys 0.96
validacio 3221142676932982 
real 23.23
user 71.39
sys 0.94
validacio 3221142676932982 
real 23.19
user 71.44
sys 0.95
validacio 3221142676932982 
real 23.14
user 71.44
sys 0.93
validacio 3221142676932982 
real 23.14
user 71.41
sys 0.95
validacio 3221142676932982 
real 23.25
user 71.48
sys 0.86
validacio 3221142676932982 
real 23.25
user 71.45
sys 0.92
validacio 3221142676932982 
real 23.14
user 71.43
sys 0.93
validacio 3221142676932982 
real 23.91
user 71.98
sys 0.93
64 /////////////////////////////
validacio 3221142676932982 
real 24.67
user 71.97
sys 1.26
validacio 3221142676932982 
real 23.62
user 71.98
sys 0.97
validacio 3221142676932982 
real 23.33
user 71.95
sys 1.02
validacio 3221142676932982 
real 23.50
user 72.01
sys 0.91
validacio 3221142676932982 
real 25.00
user 72.12
sys 1.17
validacio 3221142676932982 
real 25.58
user 72.33
sys 1.42
validacio 3221142676932982 
real 24.68
user 71.92
sys 1.03
validacio 3221142676932982 
real 23.49
user 71.94
sys 1.05
validacio 3221142676932982 
real 24.20
user 72.28
sys 1.02
validacio 3221142676932982 
real 25.86
user 72.47
sys 1.06
128 /////////////////////////////
validacio 3221142676932982 
real 28.17
user 74.39
sys 2.10
validacio 3221142676932982 
real 26.77
user 73.96
sys 1.88
validacio 3221142676932982 
real 26.01
user 73.12
sys 1.62
validacio 3221142676932982 
real 26.15
user 73.54
sys 1.51
validacio 3221142676932982 
real 24.14
user 72.60
sys 1.01
validacio 3221142676932982 
real 23.63
user 72.40
sys 0.97
validacio 3221142676932982 
real 23.63
user 72.42
sys 0.98
validacio 3221142676932982 
real 23.77
user 72.37
sys 1.02
validacio 3221142676932982 
real 23.82
user 72.46
sys 0.97
validacio 3221142676932982 
real 23.68
user 72.26
sys 1.12
